time_taken,mistakes_made,hints_used,cells_filled_by_user,solved_successfully,cells_to_remove
85,0,0,49,1,29
80,1,0,51,1,25
83,1,0,51,1,34
87,1,0,51,1,29
86,1,0,49,1,32
132,1,0,50,1,31
121,1,0,49,1,24
102,0,0,54,1,27
136,1,0,49,1,26
140,0,0,53,1,22
99,1,0,52,1,26
100,1,0,54,1,25
113,0,0,52,1,24
131,1,0,49,1,30
131,0,0,53,1,27
84,0,0,49,1,32
94,1,0,51,1,25
90,0,0,53,1,30
123,0,0,52,1,22
97,1,0,53,1,22
136,1,0,53,1,26
138,1,0,51,1,33
103,0,0,50,1,22
129,0,0,49,1,34
114,0,0,54,1,30
123,1,0,51,1,30
138,1,0,49,1,24
109,1,0,51,1,34
150,0,0,51,1,35
138,1,0,52,1,27
132,1,0,48,1,24
140,0,0,53,1,25
81,1,0,50,1,28
99,1,0,51,1,23
97,1,0,51,1,32
130,0,0,48,1,29
127,0,0,48,1,22
139,0,0,53,1,31
85,0,0,50,1,33
100,0,0,48,1,23
96,0,0,54,1,28
128,0,0,50,1,30
114,1,0,52,1,35
117,0,0,49,1,24
129,0,0,54,1,30
102,0,0,51,1,28
141,1,0,48,1,32
103,0,0,49,1,23
98,0,0,52,1,33
126,1,0,50,1,33
111,1,0,51,1,24
119,0,0,53,1,34
109,1,0,49,1,22
142,0,0,48,1,28
125,1,0,51,1,25
138,1,0,49,1,23
98,1,0,48,1,29
127,0,0,53,1,35
133,0,0,52,1,35
94,0,0,54,1,28
91,0,0,50,1,32
81,1,0,48,1,24
83,0,0,48,1,23
104,1,0,53,1,24
86,0,0,54,1,25
131,1,0,52,1,31
113,1,0,50,1,26
141,0,0,49,1,29
142,0,0,53,1,33
101,0,0,49,1,31
104,0,0,53,1,29
93,0,0,53,1,27
143,1,0,54,1,32
129,1,0,50,1,24
86,1,0,54,1,26
99,0,0,50,1,34
144,0,0,51,1,22
117,0,0,53,1,27
106,1,0,49,1,31
92,0,0,52,1,23
123,1,0,54,1,33
150,0,0,53,1,25
84,0,0,50,1,34
92,1,0,49,1,24
125,1,0,52,1,28
110,1,0,54,1,31
86,1,0,50,1,26
95,1,0,50,1,22
85,1,0,49,1,24
132,0,0,49,1,33
139,0,0,54,1,35
119,0,0,53,1,27
97,1,0,51,1,24
94,1,0,50,1,31
104,0,0,50,1,24
98,1,0,48,1,34
108,1,0,54,1,34
92,0,0,54,1,33
125,1,0,51,1,30
111,1,0,48,1,34
122,0,0,53,1,29
92,0,0,49,1,28
113,1,0,48,1,25
148,0,0,51,1,26
87,1,0,53,1,32
119,0,0,51,1,22
124,0,0,50,1,32
105,1,0,50,1,26
134,1,0,52,1,34
134,1,0,48,1,35
90,1,0,51,1,32
134,1,0,49,1,23
110,1,0,54,1,28
87,0,0,53,1,34
95,0,0,50,1,23
132,1,0,52,1,28
145,0,0,54,1,22
140,0,0,52,1,32
100,1,0,51,1,24
126,1,0,52,1,29
141,0,0,52,1,27
124,0,0,52,1,29
106,0,0,52,1,24
94,0,0,54,1,24
150,1,0,49,1,35
146,1,0,50,1,33
109,0,0,54,1,35
112,0,0,54,1,27
116,0,0,52,1,24
137,1,0,53,1,25
137,1,0,49,1,24
90,1,0,48,1,29
94,1,0,49,1,22
126,0,0,53,1,33
135,1,0,51,1,30
149,1,0,50,1,26
107,0,0,52,1,30
101,1,0,54,1,26
123,0,0,52,1,31
95,1,0,52,1,26
139,1,0,49,1,23
143,1,0,53,1,27
122,0,0,48,1,23
134,0,0,48,1,30
94,1,0,49,1,30
111,0,0,50,1,28
122,0,0,50,1,32
114,0,0,54,1,23
111,1,0,48,1,27
91,1,0,50,1,27
137,0,0,50,1,35
117,0,0,49,1,30
134,0,0,53,1,31
92,0,0,53,1,33
128,1,0,51,1,29
132,0,0,54,1,22
148,0,0,54,1,29
104,1,0,48,1,32
102,0,0,51,1,34
102,1,0,50,1,27
116,1,0,53,1,26
128,0,0,48,1,33
85,0,0,51,1,31
94,1,0,54,1,22
123,0,0,49,1,26
83,1,0,51,1,31
118,1,0,54,1,25
142,0,0,49,1,34
117,0,0,49,1,27
142,1,0,54,1,31
150,0,0,48,1,27
88,1,0,50,1,29
